.paperMachineHmiAlarms.dryingSectionGroup2UpperSlave1FaultAlarm,BOOL,,,,Var,ReadWrite,47
.paperMachineHmiAlarms.dryingSectionGroup2UpperSlave1CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,48
.paperMachineHmiAlarms.dryingSectionGroup2UpperSlave2FaultAlarm,BOOL,,,,Var,ReadWrite,49
.paperMachineHmiAlarms.dryingSectionGroup2UpperSlave2CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,50
.paperMachineHmiAlarms.dryingSectionGroup2LowerMasterFaultAlarm,BOOL,,,,Var,ReadWrite,51
.paperMachineHmiAlarms.dryingSectionGroup2LowerMasterCoolingFaultAlarm,BOOL,,,,Var,ReadWrite,52
.paperMachineHmiAlarms.dryingSectionGroup2LowerSlave1FaultAlarm,BOOL,,,,Var,ReadWrite,53
.paperMachineHmiAlarms.dryingSectionGroup2LowerSlave1CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,54
.paperMachineHmiAlarms.dryingSectionGroup2LowerSlave2FaultAlarm,BOOL,,,,Var,ReadWrite,55
.paperMachineHmiAlarms.dryingSectionGroup2LowerSlave2CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,56
.paperMachineHmiAlarms.upperDryingSectionGroup2FabricOverrunOperatorSideAlarm,BOOL,,,,Var,ReadWrite,57
.paperMachineHmiAlarms.upperDryingSectionGroup2FabricOverrunDriveSideAlarm,BOOL,,,,Var,ReadWrite,58
.paperMachineHmiAlarms.lowerDryingSectionGroup2FabricOverrunOperatorSideAlarm,BOOL,,,,Var,ReadWrite,59
.paperMachineHmiAlarms.lowerDryingSectionGroup2FabricOverrunDriveSideAlarm,BOOL,,,,Var,ReadWrite,60
.paperMachineHmiAlarms.upperDryingSectionGroup2FabricStretcherMotorFaultAlarm,BOOL,,,,Var,ReadWrite,61
.paperMachineHmiAlarms.lowerDryingSectionGroup2FabricStretcherMotorFaultAlarm,BOOL,,,,Var,ReadWrite,62
.paperMachineHmiAlarms.dryingSectionGroup2PickUpRollPosFaultAlarm,BOOL,,,,Var,ReadWrite,63
.paperMachineHmiAlarms.dryingSectionGroup2BabyDryerScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,64
.paperMachineHmiAlarms.dryingSectionGroup2UpperScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,65
.paperMachineHmiAlarms.dryingSectionGroup2LowerScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,66
.paperMachineHmiAlarms.dryingSectionGroup3UpperMasterFaultAlarm,BOOL,,,,Var,ReadWrite,67
.paperMachineHmiAlarms.dryingSectionGroup3UpperMasterCoolingFaultAlarm,BOOL,,,,Var,ReadWrite,68
.paperMachineHmiAlarms.dryingSectionGroup3UpperSlave1FaultAlarm,BOOL,,,,Var,ReadWrite,69
.paperMachineHmiAlarms.dryingSectionGroup3UpperSlave1CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,70
.paperMachineHmiAlarms.dryingSectionGroup3UpperSlave2FaultAlarm,BOOL,,,,Var,ReadWrite,71
.paperMachineHmiAlarms.dryingSectionGroup3UpperSlave2CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,72
.paperMachineHmiAlarms.dryingSectionGroup3LowerMasterFaultAlarm,BOOL,,,,Var,ReadWrite,73
.paperMachineHmiAlarms.dryingSectionGroup3LowerMasterCoolingFaultAlarm,BOOL,,,,Var,ReadWrite,74
.paperMachineHmiAlarms.dryingSectionGroup3LowerSlave1FaultAlarm,BOOL,,,,Var,ReadWrite,75
.paperMachineHmiAlarms.dryingSectionGroup3LowerSlave1CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,76
.paperMachineHmiAlarms.dryingSectionGroup3LowerSlave2FaultAlarm,BOOL,,,,Var,ReadWrite,77
.paperMachineHmiAlarms.dryingSectionGroup3LowerSlave2CoolingFaultAlarm,BOOL,,,,Var,ReadWrite,78
.paperMachineHmiAlarms.upperDryingSectionGroup3FabricOverrunOperatorSideAlarm,BOOL,,,,Var,ReadWrite,79
.paperMachineHmiAlarms.upperDryingSectionGroup3FabricOverrunDriveSideAlarm,BOOL,,,,Var,ReadWrite,80
.paperMachineHmiAlarms.lowerDryingSectionGroup3FabricOverrunOperatorSideAlarm,BOOL,,,,Var,ReadWrite,81
.paperMachineHmiAlarms.lowerDryingSectionGroup3FabricOverrunDriveSideAlarm,BOOL,,,,Var,ReadWrite,82
.paperMachineHmiAlarms.upperDryingSectionGroup3FabricStretcherMotorFaultAlarm,BOOL,,,,Var,ReadWrite,83
.paperMachineHmiAlarms.lowerDryingSectionGroup3FabricStretcherMotorFaultAlarm,BOOL,,,,Var,ReadWrite,84
.paperMachineHmiAlarms.dryingSectionGroup3PickUpRollPosFaultAlarm,BOOL,,,,Var,ReadWrite,85
.paperMachineHmiAlarms.dryingSectionGroup3BabyDryerScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,86
.paperMachineHmiAlarms.dryingSectionGroup3UpperScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,87
.paperMachineHmiAlarms.dryingSectionGroup3LowerScraperOscFaultAlarm,BOOL,,,,Var,ReadWrite,88
.paperMachineHmiAlarms.cpsUnitFaultAlarm,BOOL,,,,Var,ReadWrite,89
.paperMachineHmiAlarms.couchPitPumpFaultAlarm,BOOL,,,,Var,ReadWrite,90
.paperMachineHmiAlarms.wirePitPumpFaultAlarm,BOOL,,,,Var,ReadWrite,91
.paperMachineHmiAlarms.stockPumpFaultAlarm,BOOL,,,,Var,ReadWrite,92
.paperMachineHmiAlarms.mixingPumpFaultAlarm,BOOL,,,,Var,ReadWrite,93
.paperMachineHmiAlarms.vacuumPump1FaultAlarm,BOOL,,,,Var,ReadWrite,94
.paperMachineHmiAlarms.vacuumPump2FaultAlarm,BOOL,,,,Var,ReadWrite,95
.paperMachineHmiAlarms.lowVacuumFanFaultAlarm,BOOL,,,,Var,ReadWrite,96
.paperMachineHmiAlarms.lubricationPump1FaultAlarm,BOOL,,,,Var,ReadWrite,97
.paperMachineHmiAlarms.lubricationPump2FaultAlarm,BOOL,,,,Var,ReadWrite,98
.paperMachineHmiAlarms.lubricationMinPressureFaultAlarm,BOOL,,,,Var,ReadWrite,99
.paperMachineHmiAlarms.lubricationMaxPressureFaultAlarm,BOOL,,,,Var,ReadWrite,100
.paperMachineHmiAlarms.lubricationTankHighTemperatureAlarm,BOOL,,,,Var,ReadWrite,101
.paperMachineHmiAlarms.lubricationCircuitHighTemperatureAlarm,BOOL,,,,Var,ReadWrite,102
.paperMachineHmiAlarms.formingBoardSpeedDifAlarm,BOOL,,,,Var,ReadWrite,103
.paperMachineHmiAlarms.dryingSectionGroup1PaperBreakAlarm,BOOL,,,,Var,ReadWrite,104
.paperMachineHmiAlarms.formingBoardSafetyAlarm,BOOL,,,,Var,ReadWrite,105
.paperMachineHmiAlarms.pressSectionSafetyAlarm,BOOL,,,,Var,ReadWrite,106
.paperMachineHmiAlarms.dryingSectionSafetyAlarm,BOOL,,,,Var,ReadWrite,107
.paperMachineHmiAlarms.winderSectionSafetyAlarm,BOOL,,,,Var,ReadWrite,108
.paperMachineHmiStatus.formingBoardTractionRollSpeed,REAL,,,,Var,ReadWrite,109
.paperMachineHmiCommands.jumboWeightCaptureRequest,BOOL,,,,Var,ReadWrite,110
.paperMachineHmiCommands.jumboShaftSelector,INT,,,,Var,ReadWrite,111
.paperMachineHmiCommands.jumboCurrentWeightKg,REAL,,,,Var,ReadWrite,112
.paperMachineHmiConfig.jumboShaftWeight,REAL,[1..20],,,Var,ReadWrite,113
.paperMachineHmiStatus.dryingSectionGroup1PaperPresence,BOOL,,,,Var,ReadWrite,114
.paperMachineHmiStatus.jumboWeightCaptureStatus,INT,,,,Var,ReadWrite,115
